brute, bubble, select, solve, builtin, insert, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0.000999, 0, 
0, 0, 0, 0.000999, 0.000999, 0.001, 
0.003, 0.000999, 0.000998, 0.001, 0.000999, 0.001, 
0.013966, 0.002001, 0.001962, 0.001999, 0.001002, 0.001001, 
0.057999, 0.004999, 0.004, 0.004999, 0.002999, 0.003999, 
0, 0.011, 0.010002, 0.011998, 0.008, 0.009001, 
0, 0.026, 0.022999, 0.026001, 0.018035, 0.022, 
0, 0.058997, 0.051019, 0.057971, 0.044989, 0.049, 
0, 0.127, 0.118002, 0.132001, 0.097999, 0.111, 
0, 0.261972, 0.244999, 0.273003, 0.219998, 0.232018, 
0, 0.607, 0.555999, 0.612, 0.496002, 0.540001, 
0, 1.382031, 1.296063, 1.385001, 1.166786, 1.245592, 
0, 3.125969, 2.921075, 3.120999, 2.667838, 2.838659, 
0, 6.469115, 6.20268, 6.757075, 5.571999, 5.983995, 
0, 14.08513, 13.326359, 14.146901, 12.817758, 13.056653, 
0, 31.476549, 30.147597, 30.637005, 28.404201, 29.427061, 
